ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,label
2025-05-02T20:02:05.452472+00:00,Cd58d2712,10.0.0.205,3684,177.200.241.247,55044,tcp,ftp,73.94239715581998,1786,3852,benign
2025-05-02T20:02:05.452670+00:00,C5956b449,10.0.0.183,17003,92.130.225.140,59964,tcp,ftp,215.0122178945886,1534,8713,benign
2025-05-02T20:02:05.452687+00:00,C4ab34872,10.0.0.239,20860,93.184.216.34,36983,udp,dns,270.08498750763505,5220,6819,malicious
2025-05-02T20:02:05.452698+00:00,Cd148e1f1,10.0.0.190,27285,192.168.1.100,11208,tcp,dns,47.33636363301876,4411,1711,malicious
2025-05-02T20:02:05.452714+00:00,C0277c0a7,10.0.0.64,63438,29.252.169.99,21174,tcp,ssh,175.14706852861065,6321,7713,benign
2025-05-02T20:02:05.452726+00:00,C499fe9a0,10.0.0.201,32701,185.178.224.186,14413,udp,ssh,52.414761943329204,1775,9745,benign
2025-05-02T20:02:05.452737+00:00,Ccf64226e,10.0.0.224,35231,11.34.233.169,4443,tcp,ssh,107.3746824110227,8208,5052,benign
2025-05-02T20:02:05.452753+00:00,C4c132c07,10.0.0.42,5961,80.121.149.41,31356,tcp,ssh,177.08227130708514,2444,3499,benign
2025-05-02T20:02:05.452767+00:00,Cec3bd2fc,10.0.0.26,1971,44.205.18.77,51666,udp,https,187.48792435278693,3984,2503,benign
2025-05-02T20:02:05.452778+00:00,Cff9ba0a9,10.0.0.192,18526,155.204.56.8,8711,tcp,ssh,94.64132586280576,1883,7316,benign
2025-05-02T20:02:05.452789+00:00,Caecda5a6,10.0.0.47,20336,46.16.85.9,60922,udp,ftp,128.07943716989678,3101,5559,malicious
2025-05-02T20:02:05.452799+00:00,C1c44e84a,10.0.0.76,46161,182.153.86.162,63512,udp,dns,42.240172947500554,1440,5533,benign
2025-05-02T20:02:05.452809+00:00,Ca79d5b12,10.0.0.67,35160,107.194.196.108,10342,tcp,http,86.23911129885818,4139,8931,benign
2025-05-02T20:02:05.452819+00:00,Cd53eaae8,10.0.0.230,56730,146.245.161.171,32182,udp,ssh,56.852534701715896,3242,3976,benign
2025-05-02T20:02:05.452829+00:00,C2560fabe,10.0.0.233,14824,244.115.19.48,18583,udp,ftp,202.46860020741627,8998,5233,benign
2025-05-02T20:02:05.452839+00:00,Caf2508ab,10.0.0.27,34658,56.170.6.109,42087,udp,https,90.26583592127487,338,3876,malicious
2025-05-02T20:02:05.452849+00:00,Cb4ace2e3,10.0.0.156,55939,132.62.54.184,53777,tcp,http,114.22268999223989,1446,7095,benign
2025-05-02T20:02:05.452858+00:00,C7dc5b92e,10.0.0.25,11410,55.41.33.44,40816,udp,ftp,185.77396511299952,8613,3415,benign
2025-05-02T20:02:05.452868+00:00,Cb01ca1b8,10.0.0.172,8810,104.244.50.167,35272,udp,https,107.4660503742375,2237,2006,benign
2025-05-02T20:02:05.452878+00:00,C1a1bad69,10.0.0.159,45235,135.217.106.112,11887,udp,ftp,204.11191120936056,2095,8167,benign
2025-05-02T20:02:05.452887+00:00,C5c24bb80,10.0.0.75,46179,93.184.216.34,21783,tcp,dns,167.99965072676767,3741,5689,malicious
2025-05-02T20:02:05.452896+00:00,C1e55eeae,10.0.0.214,48603,253.242.98.95,38330,tcp,ssh,208.26880264587044,7470,1684,benign
2025-05-02T20:02:05.452906+00:00,C7bbbcaab,10.0.0.230,47238,23.217.169.126,46891,udp,https,254.26053252565939,9598,6434,benign
2025-05-02T20:02:05.452915+00:00,C5d837c7e,10.0.0.201,63096,113.166.249.50,62079,tcp,ftp,207.4717140050995,751,6504,benign
2025-05-02T20:02:05.452925+00:00,C0e8ed1a6,10.0.0.12,20351,70.191.205.164,9645,tcp,ssh,262.69755841991014,5000,7562,benign
2025-05-02T20:02:05.452935+00:00,Cfc980a30,10.0.0.42,18037,102.112.163.190,57781,tcp,ssh,218.85903496471724,1976,5874,benign
2025-05-02T20:02:05.452944+00:00,C78dc948d,10.0.0.103,59630,146.55.183.154,1155,tcp,dns,206.80359604722514,8177,4759,benign
2025-05-02T20:02:05.452954+00:00,Ccfb6807d,10.0.0.248,50432,64.228.222.190,23543,udp,https,290.0503073859948,5184,1890,benign
2025-05-02T20:02:05.452963+00:00,C60af6d01,10.0.0.37,63861,99.31.249.135,55054,tcp,dns,91.14936353733141,8674,710,benign
2025-05-02T20:02:05.452972+00:00,C90e34953,10.0.0.121,6863,141.223.28.176,24116,udp,https,181.90086130896208,9692,4985,benign
2025-05-02T20:02:05.452982+00:00,Cda5dbf55,10.0.0.156,24331,236.38.59.29,13294,udp,ftp,80.21076460667592,8717,9149,benign
2025-05-02T20:02:05.452992+00:00,Cebfe7321,10.0.0.24,27735,50.229.141.175,45578,tcp,http,44.44899217035992,8037,9299,benign
2025-05-02T20:02:05.453002+00:00,Cb2f3bd68,10.0.0.240,5055,2.111.28.233,53336,udp,http,97.5185911022607,4760,2489,benign
2025-05-02T20:02:05.453014+00:00,C403e4628,10.0.0.229,32975,143.110.146.143,46074,udp,http,264.6682361989542,738,4185,benign
2025-05-02T20:02:05.453024+00:00,Caf00f940,10.0.0.155,5144,119.203.206.127,64902,udp,ssh,224.94794291735278,2668,8449,benign
2025-05-02T20:02:05.453033+00:00,C05d11f9d,10.0.0.193,41877,93.184.216.34,28925,udp,ftp,182.54782394505364,857,3482,malicious
